accession	biosample_term	biosample_id	biosample_type	model
ENCSR522TVW	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR525VMC	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR543YSD	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR557GWO	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR560KUI	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR568FSF	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR573LJN	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR581KZV	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR586JZB	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR622HAC	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR631IZW	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR673FDN	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR673ZUI	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR683JFU	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR695DAU	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR718MTO	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR725UJD	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR735IZI	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR737GBJ	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR748QYZ	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR756WAN	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR800WSR	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR814OFS	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR834QHG	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR844EDS	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR852BNE	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR852IBE	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR854BPQ	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR862GYG	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR862UYG	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR865HXL	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR866VGC	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR882UOP	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR885UEE	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR893UVQ	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR896BUX	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR899UXS	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR899YZA	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR907JQW	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR938KTW	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR955RML	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR965IRW	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR982SWE	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR982TTL	head of caudate nucleus	UBERON:0002626	tissue	DNase-only
ENCSR010VRG	heart	UBERON:0000948	tissue	DNase-only
ENCSR027NCQ	heart	UBERON:0000948	tissue	DNase-only
ENCSR243VLI	heart	UBERON:0000948	tissue	DNase-only
ENCSR265SYU	heart	UBERON:0000948	tissue	DNase-only
ENCSR268DCC	heart	UBERON:0000948	tissue	DNase-only
ENCSR275NYM	heart	UBERON:0000948	tissue	DNase-only
ENCSR324EAR	heart	UBERON:0000948	tissue	DNase-only
ENCSR341EEG	heart	UBERON:0000948	tissue	DNase-only
ENCSR407MNO	heart	UBERON:0000948	tissue	DNase-only
ENCSR437EQQ	heart	UBERON:0000948	tissue	DNase-only
ENCSR438ODB	heart	UBERON:0000948	tissue	DNase-only
ENCSR649JPE	heart	UBERON:0000948	tissue	DNase-only
ENCSR704MUC	heart	UBERON:0000948	tissue	DNase-only
ENCSR778WJN	heart	UBERON:0000948	tissue	DNase-only
ENCSR819HFU	heart	UBERON:0000948	tissue	DNase-only
ENCSR826YQC	heart	UBERON:0000948	tissue	DNase-only
ENCSR834LVY	heart	UBERON:0000948	tissue	DNase-only
ENCSR972IQH	heart	UBERON:0000948	tissue	DNase-only
ENCSR138ZWW	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR168EWX	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR179GEJ	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR292FRS	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR489QWX	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR515PAT	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR563JJG	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR676IYV	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR763TOQ	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR860BVJ	heart left ventricle	UBERON:0002084	tissue	DNase-only
ENCSR082DMJ	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR128BSF	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR240USV	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR544QOQ	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR724CAP	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR827IWF	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR841TLK	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR885LJS	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR907ZHH	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR915TUW	heart right ventricle	UBERON:0002080	tissue	DNase-only
ENCSR153XYE	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR209SSF	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR250ACL	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR410WMX	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR411LYI	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR518GIW	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR559TGX	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR612WUX	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR662YDI	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR741TVN	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR809UPU	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR918QUD	hematopoietic multipotent progenitor cell	CL:0000837	in vitro differentiated cells	DNase-only
ENCSR612QRK	hepatic stellate cell	CL:0000632	primary cell	DNase-only
ENCSR540LPL	hepatocyte	CL:0000182	primary cell	DNase-only
ENCSR819OXZ	hepatocyte	CL:0000182	in vitro differentiated cells	DNase-only
ENCSR163TEJ	hindlimb muscle	UBERON:0003663	tissue	DNase-only
ENCSR772VHZ	iPS DF 19.11	EFO:0007096	cell line	DNase-only
ENCSR416HDS	iPS DF 19.7	EFO:0007095	cell line	DNase-only
ENCSR920MHM	iPS DF 4.7	EFO:0007097	cell line	DNase-only
ENCSR846KBH	iPS DF 6.9	EFO:0007098	cell line	DNase-only
ENCSR082HOQ	iPS-NIHi11	EFO:0007952	cell line	DNase-only
ENCSR157DJQ	iPS-NIHi7	EFO:0007953	cell line	DNase-only
ENCSR435JVN	immature natural killer cell	CL:0000823	primary cell	DNase-only
ENCSR532ITD	immature natural killer cell	CL:0000823	primary cell	DNase-only
ENCSR611PGI	immature natural killer cell	CL:0000823	primary cell	DNase-only
ENCSR133SBH	inferior parietal cortex	UBERON:0006088	tissue	DNase-only
ENCSR533LIC	inflammatory macrophage	CL:0000863	primary cell	DNase-only
ENCSR781FMK	inflammatory macrophage	CL:0000863	primary cell	DNase-only
ENCSR937VGG	inflammatory macrophage	CL:0000863	primary cell	DNase-only
ENCSR969WEY	inflammatory macrophage	CL:0000863	primary cell	DNase-only
ENCSR979ELZ	inflammatory macrophage	CL:0000863	primary cell	DNase-only
ENCSR389ZNO	iris pigment epithelial cell	CL:0002565	primary cell	DNase-only
ENCSR249VUG	islet precursor cell	NTR:0001484	in vitro differentiated cells	DNase-only
ENCSR366BKU	keratinocyte	CL:0000312	primary cell	DNase-only
ENCSR998FKR	keratinocyte	CL:0000312	primary cell	DNase-only
ENCSR115PBS	kidney	UBERON:0002113	tissue	DNase-only
ENCSR122SNI	kidney	UBERON:0002113	tissue	DNase-only
ENCSR137SNV	kidney	UBERON:0002113	tissue	DNase-only
ENCSR267CCM	kidney	UBERON:0002113	tissue	DNase-only
ENCSR270YRH	kidney	UBERON:0002113	tissue	DNase-only
ENCSR278BKS	kidney	UBERON:0002113	tissue	DNase-only
ENCSR439PQS	kidney	UBERON:0002113	tissue	DNase-only
ENCSR449PQD	kidney	UBERON:0002113	tissue	DNase-only
ENCSR694NWA	kidney	UBERON:0002113	tissue	DNase-only
ENCSR716KOD	kidney	UBERON:0002113	tissue	DNase-only
ENCSR827UXW	kidney	UBERON:0002113	tissue	DNase-only
ENCSR893SPO	kidney	UBERON:0002113	tissue	DNase-only
ENCSR934YNP	kidney	UBERON:0002113	tissue	DNase-only
ENCSR990BBN	kidney	UBERON:0002113	tissue	DNase-only
ENCSR424MBB	kidney capillary endothelial cell	CL:1000892	primary cell	DNase-only
ENCSR093IGI	kidney epithelial cell	CL:0002518	primary cell	DNase-only
ENCSR907TBJ	kidney glomerular epithelial cell	CL:1000510	primary cell	DNase-only
ENCSR206JHT	kidney tubule cell	CL:1000507	primary cell	DNase-only
ENCSR681BEB	kidney tubule cell	CL:1000507	primary cell	DNase-only
ENCSR014MUK	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR027JRK	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR131XFT	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR156MYZ	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR355LTS	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR637BVM	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR651EXI	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR675DNH	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR675GRG	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR677RET	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR748TNI	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR777HQL	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR778BSB	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR851RYP	large intestine	UBERON:0000059	tissue	DNase-only
ENCSR122ZFA	left cardiac atrium	UBERON:0002079	tissue	DNase-only
ENCSR359ZYY	left cardiac atrium	UBERON:0002079	tissue	DNase-only
ENCSR269DYG	left colon	UBERON:0008971	tissue	DNase-only
ENCSR408UEA	left colon	UBERON:0008971	tissue	DNase-only
ENCSR920YJH	left forelimb	UBERON:8300002	tissue	DNase-only
ENCSR482UJZ	left hindlimb	UBERON:8300004	tissue	DNase-only
ENCSR044FFX	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR111NMH	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR289QGO	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR339UZA	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR389VDH	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR513WUS	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR564HXQ	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR646LCR	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR757SHG	left kidney	UBERON:0004538	tissue	DNase-only
ENCSR456DWH	left lobe of liver	UBERON:0001115	tissue	DNase-only
ENCSR013EFQ	left lung	UBERON:0002168	tissue	DNase-only
ENCSR016PXO	left lung	UBERON:0002168	tissue	DNase-only
ENCSR051YXR	left lung	UBERON:0002168	tissue	DNase-only
ENCSR134YKE	left lung	UBERON:0002168	tissue	DNase-only
ENCSR145OHU	left lung	UBERON:0002168	tissue	DNase-only
ENCSR152ELC	left lung	UBERON:0002168	tissue	DNase-only
ENCSR170KGO	left lung	UBERON:0002168	tissue	DNase-only
ENCSR262DQF	left lung	UBERON:0002168	tissue	DNase-only
ENCSR364FSK	left lung	UBERON:0002168	tissue	DNase-only
ENCSR415YZQ	left lung	UBERON:0002168	tissue	DNase-only
ENCSR457PMF	left lung	UBERON:0002168	tissue	DNase-only
ENCSR519DDQ	left lung	UBERON:0002168	tissue	DNase-only
ENCSR619IHY	left lung	UBERON:0002168	tissue	DNase-only
ENCSR878JTV	left lung	UBERON:0002168	tissue	DNase-only
ENCSR925BQN	left lung	UBERON:0002168	tissue	DNase-only
ENCSR236RXA	left renal cortex interstitium	UBERON:0018117	tissue	DNase-only
ENCSR386YOO	left renal cortex interstitium	UBERON:0018117	tissue	DNase-only
ENCSR541OXX	left renal cortex interstitium	UBERON:0018117	tissue	DNase-only
ENCSR931VTT	left renal cortex interstitium	UBERON:0018117	tissue	DNase-only
ENCSR085PAX	left renal pelvis	UBERON:0018115	tissue	DNase-only
ENCSR177NKS	left renal pelvis	UBERON:0018115	tissue	DNase-only
ENCSR503MEB	left renal pelvis	UBERON:0018115	tissue	DNase-only
ENCSR864LOX	left renal pelvis	UBERON:0018115	tissue	DNase-only
ENCSR524GHO	left ventricle myocardium inferior	NTR:0000493	tissue	DNase-only
ENCSR181YTG	left ventricle myocardium superior	NTR:0000494	tissue	DNase-only
ENCSR347ZII	limb	UBERON:0002101	tissue	DNase-only
ENCSR750PFY	limb	UBERON:0002101	tissue	DNase-only
ENCSR257HLT	liver	UBERON:0002107	tissue	DNase-only
ENCSR731BRS	liver	UBERON:0002107	tissue	DNase-only
ENCSR260ZMD	lower leg skin	UBERON:0004264	tissue	DNase-only
ENCSR847VIM	lower leg skin	UBERON:0004264	tissue	DNase-only
ENCSR370ETB	lower lobe of left lung	UBERON:0008953	tissue	DNase-only
ENCSR548BBI	lower lobe of left lung	UBERON:0008953	tissue	DNase-only
ENCSR970INU	lower lobe of left lung	UBERON:0008953	tissue	DNase-only
ENCSR764OJN	lower lobe of right lung	UBERON:0002171	tissue	DNase-only
ENCSR084EOB	lung	UBERON:0002048	tissue	DNase-only
ENCSR134CMY	lung	UBERON:0002048	tissue	DNase-only
ENCSR151YBS	lung	UBERON:0002048	tissue	DNase-only
ENCSR194KNE	lung	UBERON:0002048	tissue	DNase-only
ENCSR208OKU	lung	UBERON:0002048	tissue	DNase-only
ENCSR286OLZ	lung	UBERON:0002048	tissue	DNase-only
ENCSR294PCC	lung	UBERON:0002048	tissue	DNase-only
ENCSR316TSE	lung	UBERON:0002048	tissue	DNase-only
ENCSR400MNO	lung	UBERON:0002048	tissue	DNase-only
ENCSR528UQX	lung	UBERON:0002048	tissue	DNase-only
ENCSR659BFI	lung	UBERON:0002048	tissue	DNase-only
ENCSR747OZG	lung	UBERON:0002048	tissue	DNase-only
ENCSR844XAT	lung	UBERON:0002048	tissue	DNase-only
ENCSR853ZVZ	lung	UBERON:0002048	tissue	DNase-only
ENCSR078TXJ	lung microvascular endothelial cell	CL:2000016	primary cell	DNase-only
ENCSR596LGE	lung microvascular endothelial cell	CL:2000016	primary cell	DNase-only
ENCSR155VGH	mammary epithelial cell	CL:0002327	primary cell	DNase-only
ENCSR289GDY	mammary epithelial cell	CL:0002327	primary cell	DNase-only
ENCSR789EZK	mammary epithelial cell	CL:0002327	primary cell	DNase-only
ENCSR080GWY	medulla oblongata	UBERON:0001896	tissue	DNase-only
ENCSR228RAU	memory B cell	CL:0000787	primary cell	DNase-only
ENCSR300MTO	memory B cell	CL:0000787	primary cell	DNase-only
ENCSR394DCW	mesenchymal stem cell	CL:0000134	in vitro differentiated cells	DNase-only
ENCSR873VNJ	mesendoderm	NTR:0000856	in vitro differentiated cells	DNase-only
ENCSR936MAH	mesenteric fat pad	UBERON:0015143	tissue	DNase-only
ENCSR534FGU	mesodermal cell	CL:0000222	in vitro differentiated cells	DNase-only
ENCSR028TTK	mesothelial cell of epicardium	CL:0011019	in vitro differentiated cells	DNase-only
ENCSR449CWZ	mesothelial cell of epicardium	CL:0011019	in vitro differentiated cells	DNase-only
ENCSR937IVA	midbrain	UBERON:0001891	tissue	DNase-only
ENCSR524AYL	middle frontal gyrus	UBERON:0002702	tissue	DNase-only
ENCSR137FXV	mucosa of descending colon	UBERON:0004992	tissue	DNase-only
ENCSR605GDX	mucosa of descending colon	UBERON:0004992	tissue	DNase-only
ENCSR961MWH	mucosa of descending colon	UBERON:0004992	tissue	DNase-only
ENCSR517TPT	mucosa of gallbladder	UBERON:0005033	tissue	DNase-only
ENCSR097PYK	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR230VIR	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR285FJD	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR362ZWD	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR388KYX	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR407KZM	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR420FVP	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR481PMG	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR515UWP	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR535WSZ	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR594NIQ	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR603XXL	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR646ZSJ	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR720UQO	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR781JMG	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR823LOK	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR863KBY	muscle of arm	UBERON:0001499	tissue	DNase-only
ENCSR196PTT	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR284TUC	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR322GPY	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR448JEQ	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR478XPU	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR591OBB	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR613YKL	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR758VPI	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR793CBQ	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR793GLF	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR798KSQ	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR805ZSO	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR929ZQE	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR989FHU	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR997ZBH	muscle of back	UBERON:0002324	tissue	DNase-only
ENCSR068YWL	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR240MMT	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR468XFZ	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR572XTM	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR639ERF	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR641SJQ	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR713KVM	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR729DKE	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR735LWL	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR744BHQ	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR948UXB	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR969TEL	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR994QJV	muscle of leg	UBERON:0001383	tissue	DNase-only
ENCSR323TCY	muscle of trunk	UBERON:0001774	tissue	DNase-only
ENCSR518JKK	muscle of trunk	UBERON:0001774	tissue	DNase-only
ENCSR537UDO	muscle of trunk	UBERON:0001774	tissue	DNase-only
ENCSR264JNJ	myocyte	CL:0000187	in vitro differentiated cells	DNase-only
ENCSR984VAS	myotube	CL:0002372	in vitro differentiated cells	DNase-only
ENCSR114JRP	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR172AKA	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR320PQI	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR409MWJ	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR438SHX	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR451YWL	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR651GWI	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR852QIV	naive B cell	CL:0000788	primary cell	DNase-only
ENCSR049XWT	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR057JRS	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR192CVB	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR207GTJ	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR228YLS	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR231QMO	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR258NYN	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR303TRL	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR413DKU	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR547DNH	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR602ONM	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR617HPH	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR805LBK	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR899HQG	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR902QZT	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	primary cell	DNase-only
ENCSR015QKR	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR019JIM	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR140QOX	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR254ZAW	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR261VHD	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR264ZVW	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR274ORH	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR283YIE	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR330KBL	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR560WZZ	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR572LBY	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR881JLS	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR913RIB	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	primary cell	DNase-only
ENCSR315PBR	natural killer cell	CL:0000623	primary cell	DNase-only
ENCSR444CPF	natural killer cell	CL:0000623	primary cell	DNase-only
ENCSR481NBP	natural killer cell	CL:0000623	primary cell	DNase-only
ENCSR486JFE	natural killer cell	CL:0000623	primary cell	DNase-only
ENCSR813LZG	natural killer cell	CL:0000623	primary cell	DNase-only
ENCSR825CKF	natural killer cell	CL:0000623	primary cell	DNase-only
ENCSR931UNZ	natural killer cell	CL:0000623	primary cell	DNase-only
ENCSR584AAP	nephron progenitor cell	NTR:0000512	in vitro differentiated cells	DNase-only
ENCSR331EZU	neural crest cell	CL:0011012	in vitro differentiated cells	DNase-only
ENCSR776GQD	neural progenitor cell	CL:0011020	in vitro differentiated cells	DNase-only
ENCSR206XEV	neuronal stem cell	CL:0000047	in vitro differentiated cells	DNase-only
ENCSR753YSN	non-pigmented ciliary epithelial cell	CL:0002304	primary cell	DNase-only
ENCSR500QVP	occipital lobe	UBERON:0002021	tissue	DNase-only
ENCSR264LDY	omental fat pad	UBERON:0010414	tissue	DNase-only
ENCSR683IOO	omental fat pad	UBERON:0010414	tissue	DNase-only
ENCSR017RNR	osteoblast	CL:0000062	primary cell	DNase-only
ENCSR430GDU	osteocyte	CL:0000137	in vitro differentiated cells	DNase-only
ENCSR019URU	ovary	UBERON:0000992	tissue	DNase-only
ENCSR050CMT	ovary	UBERON:0000992	tissue	DNase-only
ENCSR079YSS	ovary	UBERON:0000992	tissue	DNase-only
ENCSR154RKX	ovary	UBERON:0000992	tissue	DNase-only
ENCSR257XOE	ovary	UBERON:0000992	tissue	DNase-only
ENCSR476YHE	ovary	UBERON:0000992	tissue	DNase-only
ENCSR496SHX	ovary	UBERON:0000992	tissue	DNase-only
ENCSR554HIP	ovary	UBERON:0000992	tissue	DNase-only
ENCSR648ATV	ovary	UBERON:0000992	tissue	DNase-only
ENCSR204ACI	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR480FCZ	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR547BLV	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR685YUN	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR748WVY	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR855BCT	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR864DIM	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR890BYS	pancreas	UBERON:0001264	tissue	DNase-only
ENCSR077RTJ	placenta	UBERON:0001987	tissue	DNase-only
ENCSR148DKG	placenta	UBERON:0001987	tissue	DNase-only
ENCSR155EGA	placenta	UBERON:0001987	tissue	DNase-only
ENCSR232KEU	placenta	UBERON:0001987	tissue	DNase-only
ENCSR317DOY	placenta	UBERON:0001987	tissue	DNase-only
ENCSR330WGR	placenta	UBERON:0001987	tissue	DNase-only
ENCSR351VRT	placenta	UBERON:0001987	tissue	DNase-only
ENCSR403FEH	placenta	UBERON:0001987	tissue	DNase-only
ENCSR420ZQC	placenta	UBERON:0001987	tissue	DNase-only
ENCSR433LEB	placenta	UBERON:0001987	tissue	DNase-only
ENCSR459JWH	placenta	UBERON:0001987	tissue	DNase-only
ENCSR486NIX	placenta	UBERON:0001987	tissue	DNase-only
ENCSR502YYA	placenta	UBERON:0001987	tissue	DNase-only
ENCSR576PEC	placenta	UBERON:0001987	tissue	DNase-only
